"No.","Time","Source","Destination","Protocol","Length","Info"
"537","179.600738","192.168.1.66","72.21.207.136","TLSv1.2","259","Client Hello"
"538","179.602275","192.168.1.66","72.21.207.136","TCP","54","26734  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"539","179.602314","192.168.1.66","72.21.207.136","TCP","54","26733  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"540","179.602403","192.168.1.66","72.21.207.136","TLSv1.2","259","Client Hello"
"541","179.602601","192.168.1.66","72.21.207.136","TLSv1.2","259","Client Hello"
"542","179.627743","192.168.1.66","54.239.17.7","TCP","54","26730  >  443 [ACK] Seq=199 Ack=4381 Win=65536 Len=0"
"543","179.635062","192.168.1.66","54.239.17.7","TCP","54","26730  >  443 [ACK] Seq=199 Ack=5136 Win=64768 Len=0"
"544","179.636624","192.168.1.66","54.239.17.7","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"545","179.663210","192.168.1.66","72.21.207.136","TCP","54","26731  >  443 [ACK] Seq=206 Ack=4381 Win=65536 Len=0"
"546","179.672854","192.168.1.66","72.21.207.136","TCP","54","26731  >  443 [ACK] Seq=206 Ack=5015 Win=65024 Len=0"
"547","179.674100","192.168.1.66","72.21.207.136","TCP","54","26732  >  443 [ACK] Seq=206 Ack=5015 Win=65536 Len=0"
"548","179.674147","192.168.1.66","72.21.207.136","TCP","54","26734  >  443 [ACK] Seq=206 Ack=1461 Win=65536 Len=0"
"549","179.674487","192.168.1.66","72.21.207.136","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"550","179.676308","192.168.1.66","72.21.207.136","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"551","179.677200","192.168.1.66","72.21.207.136","TCP","54","26734  >  443 [ACK] Seq=206 Ack=5015 Win=65536 Len=0"
"552","179.679038","192.168.1.66","72.21.207.136","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"553","179.679620","192.168.1.66","72.21.207.136","TCP","54","26733  >  443 [ACK] Seq=206 Ack=2921 Win=65536 Len=0"
"554","179.684688","192.168.1.66","72.21.207.136","TCP","54","26733  >  443 [ACK] Seq=206 Ack=5015 Win=65536 Len=0"
"555","179.686504","192.168.1.66","72.21.207.136","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"556","179.726431","192.168.1.66","54.239.17.7","TCP","54","26730  >  443 [ACK] Seq=325 Ack=5187 Win=64768 Len=0"
"557","179.764581","192.168.1.66","72.21.207.136","TCP","54","26731  >  443 [ACK] Seq=332 Ack=5066 Win=64768 Len=0"
"558","179.766602","192.168.1.66","72.21.207.136","TCP","54","26734  >  443 [ACK] Seq=332 Ack=5066 Win=65536 Len=0"
"559","179.766663","192.168.1.66","72.21.207.136","TCP","54","26732  >  443 [ACK] Seq=332 Ack=5066 Win=65536 Len=0"
"560","179.960329","192.168.1.66","72.21.207.136","TCP","180","[TCP Retransmission] 26733  >  443 [PSH, ACK] Seq=206 Ack=5015 Win=65536 Len=126"
"561","179.989243","192.168.1.66","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"562","180.046254","192.168.1.66","72.21.207.136","TCP","54","26733  >  443 [ACK] Seq=332 Ack=5066 Win=65536 Len=0"
"566","180.531149","192.168.1.66","54.192.89.15","TCP","66","26735  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"567","180.531341","192.168.1.66","54.192.89.15","TCP","66","26736  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"568","180.531532","192.168.1.66","54.192.89.15","TCP","66","26737  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"569","180.531703","192.168.1.66","54.192.89.15","TCP","66","26738  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"570","180.531896","192.168.1.66","54.192.89.15","TCP","66","26739  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"571","180.532059","192.168.1.66","54.192.89.15","TCP","66","26740  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"572","180.560704","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"573","180.560957","192.168.1.66","54.192.89.15","TLSv1.2","273","Client Hello"
"574","180.562388","192.168.1.66","54.192.89.15","TCP","54","26736  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"575","180.562437","192.168.1.66","54.192.89.15","TCP","54","26737  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"576","180.562558","192.168.1.66","54.192.89.15","TLSv1.2","273","Client Hello"
"577","180.562712","192.168.1.66","54.192.89.15","TLSv1.2","273","Client Hello"
"578","180.564846","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"579","180.565101","192.168.1.66","54.192.89.15","TLSv1.2","273","Client Hello"
"580","180.566759","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"581","180.566818","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"582","180.566954","192.168.1.66","54.192.89.15","TLSv1.2","273","Client Hello"
"583","180.567146","192.168.1.66","54.192.89.15","TLSv1.2","273","Client Hello"
"584","180.603825","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=220 Ack=5043 Win=65536 Len=0"
"585","180.605353","192.168.1.66","54.192.89.15","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"586","180.621554","192.168.1.66","54.192.89.15","TCP","54","26736  >  443 [ACK] Seq=220 Ack=2921 Win=65536 Len=0"
"587","180.623604","192.168.1.66","54.192.89.15","TCP","54","26736  >  443 [ACK] Seq=220 Ack=5043 Win=65536 Len=0"
"588","180.623811","192.168.1.66","54.192.89.15","TCP","54","26737  >  443 [ACK] Seq=220 Ack=2921 Win=65536 Len=0"
"589","180.625087","192.168.1.66","54.192.89.15","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"590","180.627078","192.168.1.66","54.192.89.15","TCP","54","26737  >  443 [ACK] Seq=220 Ack=5043 Win=65536 Len=0"
"591","180.627139","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=220 Ack=2921 Win=65536 Len=0"
"592","180.628729","192.168.1.66","54.192.89.15","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"593","180.628955","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=220 Ack=5043 Win=65536 Len=0"
"594","180.631085","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=220 Ack=2921 Win=65536 Len=0"
"595","180.631735","192.168.1.66","54.192.89.15","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"596","180.641507","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=220 Ack=5043 Win=65536 Len=0"
"597","180.642841","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=220 Ack=5043 Win=65536 Len=0"
"598","180.643059","192.168.1.66","54.192.89.15","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"599","180.646130","192.168.1.66","54.192.89.15","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"600","180.684546","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=346 Ack=5301 Win=65280 Len=0"
"601","180.707991","192.168.1.66","54.192.89.15","TCP","54","26736  >  443 [ACK] Seq=346 Ack=5301 Win=65280 Len=0"
"602","180.714127","192.168.1.66","54.192.89.15","TCP","54","26737  >  443 [ACK] Seq=346 Ack=5301 Win=65280 Len=0"
"603","180.718064","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=346 Ack=5301 Win=65280 Len=0"
"604","180.718136","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=346 Ack=5301 Win=65280 Len=0"
"605","180.724233","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=346 Ack=5301 Win=65280 Len=0"
"606","181.534780","192.168.1.66","72.21.206.141","TCP","66","26741  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"607","181.535012","192.168.1.66","72.21.206.141","TCP","66","26742  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"608","181.579948","192.168.1.66","72.21.206.141","TCP","54","26741  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"609","181.580181","192.168.1.66","72.21.206.141","TLSv1.2","273","Client Hello"
"610","181.581673","192.168.1.66","72.21.206.141","TCP","54","26742  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"611","181.581928","192.168.1.66","72.21.206.141","TLSv1.2","273","Client Hello"
"612","181.630798","192.168.1.66","72.21.206.141","TCP","54","26741  >  443 [ACK] Seq=220 Ack=2921 Win=65536 Len=0"
"613","181.641606","192.168.1.66","72.21.206.141","TCP","54","26741  >  443 [ACK] Seq=220 Ack=5021 Win=65536 Len=0"
"614","181.642955","192.168.1.66","72.21.206.141","TCP","54","26742  >  443 [ACK] Seq=220 Ack=5021 Win=65536 Len=0"
"615","181.643162","192.168.1.66","72.21.206.141","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"616","181.644939","192.168.1.66","72.21.206.141","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"617","181.727950","192.168.1.66","72.21.206.141","TCP","54","26741  >  443 [ACK] Seq=346 Ack=5072 Win=65536 Len=0"
"618","181.728954","192.168.1.66","72.21.206.141","TCP","54","26742  >  443 [ACK] Seq=346 Ack=5072 Win=65536 Len=0"
"620","182.530943","192.168.1.66","52.85.236.243","TCP","66","26743  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"621","182.531183","192.168.1.66","52.85.236.243","TCP","66","26744  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"622","182.531375","192.168.1.66","52.85.236.243","TCP","66","26745  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"623","182.531561","192.168.1.66","52.85.236.243","TCP","66","26746  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"624","182.531772","192.168.1.66","52.85.236.243","TCP","66","26747  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"625","182.531922","192.168.1.66","52.85.236.243","TCP","66","26748  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"626","182.578261","192.168.1.66","52.85.236.243","TCP","54","26743  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"627","182.578478","192.168.1.66","52.85.236.243","TLSv1.2","256","Client Hello"
"628","182.580027","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"629","182.580229","192.168.1.66","52.85.236.243","TCP","54","26745  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"630","182.580272","192.168.1.66","52.85.236.243","TLSv1.2","256","Client Hello"
"631","182.580519","192.168.1.66","52.85.236.243","TLSv1.2","256","Client Hello"
"632","182.582833","192.168.1.66","52.85.236.243","TCP","54","26744  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"633","182.582889","192.168.1.66","52.85.236.243","TCP","54","26747  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"634","182.582911","192.168.1.66","52.85.236.243","TCP","54","26746  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"635","182.582976","192.168.1.66","52.85.236.243","TLSv1.2","256","Client Hello"
"636","182.583156","192.168.1.66","52.85.236.243","TLSv1.2","256","Client Hello"
"637","182.583335","192.168.1.66","52.85.236.243","TLSv1.2","256","Client Hello"
"638","182.638055","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=203 Ack=4381 Win=65536 Len=0"
"639","182.650680","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=203 Ack=5112 Win=64768 Len=0"
"640","182.652198","192.168.1.66","52.85.236.243","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"641","182.656934","192.168.1.66","52.85.236.243","TCP","54","26743  >  443 [ACK] Seq=203 Ack=2921 Win=65536 Len=0"
"642","182.657957","192.168.1.66","52.85.236.243","TCP","54","26743  >  443 [ACK] Seq=203 Ack=5112 Win=65536 Len=0"
"643","182.660899","192.168.1.66","52.85.236.243","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"644","182.661982","192.168.1.66","52.85.236.243","TCP","54","26747  >  443 [ACK] Seq=203 Ack=5112 Win=65536 Len=0"
"645","182.662026","192.168.1.66","52.85.236.243","TCP","54","26745  >  443 [ACK] Seq=203 Ack=2921 Win=65536 Len=0"
"646","182.663769","192.168.1.66","52.85.236.243","TCP","54","26745  >  443 [ACK] Seq=203 Ack=5112 Win=65536 Len=0"
"647","182.664880","192.168.1.66","52.85.236.243","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"648","182.667881","192.168.1.66","52.85.236.243","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"649","182.669420","192.168.1.66","52.85.236.243","TCP","1514","26748  >  443 [ACK] Seq=329 Ack=5112 Win=64768 Len=1460 [TCP segment of a reassembled PDU]"
"650","182.669421","192.168.1.66","52.85.236.243","TLSv1.2","171","Application Data"
"651","182.674756","192.168.1.66","52.85.236.243","TCP","54","26744  >  443 [ACK] Seq=203 Ack=5112 Win=65536 Len=0"
"652","182.676390","192.168.1.66","52.85.236.243","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"653","182.731220","192.168.1.66","52.85.236.243","TCP","66","[TCP Dup ACK 646#1] 26745  >  443 [ACK] Seq=329 Ack=5112 Win=65536 Len=0 SLE=4381 SRE=5112"
"654","182.745777","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=5354 Win=64512 Len=0"
"655","182.761491","192.168.1.66","52.85.236.243","TCP","66","[TCP Dup ACK 644#1] 26747  >  443 [ACK] Seq=329 Ack=5112 Win=65536 Len=0 SLE=4381 SRE=5112"
"656","182.761556","192.168.1.66","52.85.236.243","TCP","54","26746  >  443 [ACK] Seq=203 Ack=5112 Win=65536 Len=0"
"657","182.763027","192.168.1.66","52.85.236.243","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"658","182.777593","192.168.1.66","52.85.236.243","TCP","66","[TCP Dup ACK 651#1] 26744  >  443 [ACK] Seq=329 Ack=5112 Win=65536 Len=0 SLE=4381 SRE=5112"
"659","182.799100","192.168.1.66","52.85.236.243","TCP","1514","[TCP Retransmission] 26748  >  443 [PSH, ACK] Seq=446 Ack=5354 Win=64512 Len=1460"
"660","182.816383","192.168.1.66","52.85.236.243","TCP","66","[TCP Dup ACK 642#1] 26743  >  443 [ACK] Seq=329 Ack=5112 Win=65536 Len=0 SLE=4381 SRE=5112"
"661","182.857895","192.168.1.66","52.85.236.243","TCP","54","26743  >  443 [ACK] Seq=329 Ack=5354 Win=65280 Len=0"
"662","182.859893","192.168.1.66","52.85.236.243","TCP","54","26745  >  443 [ACK] Seq=329 Ack=5354 Win=65280 Len=0"
"663","182.859962","192.168.1.66","52.85.236.243","TCP","54","26747  >  443 [ACK] Seq=329 Ack=5354 Win=65280 Len=0"
"664","182.864913","192.168.1.66","52.85.236.243","TCP","54","26746  >  443 [ACK] Seq=329 Ack=5354 Win=65280 Len=0"
"665","182.906520","192.168.1.66","52.85.236.243","TCP","54","26744  >  443 [ACK] Seq=329 Ack=5354 Win=65280 Len=0"
"666","182.976885","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=6390 Win=65536 Len=0"
"667","182.992693","192.168.1.66","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"668","182.994814","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=9310 Win=65536 Len=0"
"669","182.996876","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=15150 Win=65536 Len=0"
"670","183.001207","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=18155 Win=65536 Len=0"
"672","183.086827","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=19385 Win=64256 Len=0"
"673","183.088421","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=21461 Win=65536 Len=0"
"674","183.093774","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=21829 Win=65280 Len=0"
"675","183.135486","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=22562 Win=64512 Len=0"
"676","183.160515","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=24074 Win=65536 Len=0"
"677","183.167367","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=28454 Win=65536 Len=0"
"678","183.181448","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=35754 Win=65536 Len=0"
"679","183.182753","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=37960 Win=65536 Len=0"
"680","183.201173","192.168.1.66","54.192.89.15","TLSv1.2","504","Application Data"
"681","183.206174","192.168.1.66","54.192.89.15","TLSv1.2","525","Application Data"
"682","183.241486","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=796 Ack=8789 Win=65536 Len=0"
"683","183.243403","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=796 Ack=11709 Win=65536 Len=0"
"684","183.263547","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=796 Ack=14629 Win=65536 Len=0"
"685","183.267646","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=796 Ack=20469 Win=65536 Len=0"
"686","183.268732","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=796 Ack=21929 Win=65536 Len=0"
"687","183.272225","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=796 Ack=27769 Win=65536 Len=0"
"688","183.274328","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=796 Ack=30689 Win=65536 Len=0"
"689","183.298701","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=796 Ack=33609 Win=65536 Len=0"
"690","183.300784","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=796 Ack=36529 Win=65536 Len=0"
"691","183.301031","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=796 Ack=39449 Win=65536 Len=0"
"692","183.304625","192.168.1.66","54.192.89.15","TCP","54","26736  >  443 [ACK] Seq=817 Ack=8079 Win=65536 Len=0"
"693","183.304714","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=796 Ack=41187 Win=65536 Len=0"
"695","183.471149","192.168.1.66","192.168.1.255","NBNS","92","Name query NB WPAD<00>"
"696","183.472847","192.168.1.66","224.0.0.252","LLMNR","64","Standard query 0x79e8 A wpad"
"697","183.569093","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=42303 Win=65536 Len=0"
"698","183.572228","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=45353 Win=65536 Len=0"
"699","183.588341","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=47450 Win=65536 Len=0"
"700","183.588751","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=51277 Win=65536 Len=0"
"701","183.594273","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=58513 Win=65536 Len=0"
"702","183.608594","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=61433 Win=65536 Len=0"
"703","183.609669","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=65813 Win=65536 Len=0"
"704","183.615155","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=71653 Win=65536 Len=0"
"705","183.631614","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=77493 Win=65536 Len=0"
"706","183.636509","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=80413 Win=65536 Len=0"
"707","183.639304","192.168.1.66","172.217.0.74","QUIC","1392","Client Hello, PKN: 1, CID: 10277579457848340833"
"708","183.644599","192.168.1.66","172.217.0.74","TLSv1.2","268","Application Data"
"709","183.645032","192.168.1.66","172.217.0.74","TLSv1.2","100","Application Data"
"710","183.649491","192.168.1.66","54.192.89.15","TLSv1.2","480","Application Data"
"711","183.650828","192.168.1.66","54.192.89.15","TLSv1.2","480","Application Data"
"712","183.652486","192.168.1.66","54.192.89.15","TLSv1.2","487","Application Data"
"713","183.670339","192.168.1.66","54.192.89.15","TLSv1.2","480","Application Data"
"714","183.673989","192.168.1.66","54.192.89.15","TLSv1.2","480","Application Data"
"715","183.677018","192.168.1.66","54.192.89.15","TLSv1.2","482","Application Data"
"716","183.690858","192.168.1.66","52.85.236.243","TCP","1514","26743  >  443 [ACK] Seq=329 Ack=5354 Win=65280 Len=1460 [TCP segment of a reassembled PDU]"
"717","183.690860","192.168.1.66","52.85.236.243","TLSv1.2","222","Application Data"
"719","183.705343","192.168.1.66","172.217.1.42","TCP","55","[TCP Keep-Alive] 26706  >  443 [ACK] Seq=773 Ack=6021 Win=66048 Len=1"
"720","183.707802","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=90633 Win=65536 Len=0"
"721","183.708237","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=93553 Win=65536 Len=0"
"722","183.710678","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=96473 Win=65536 Len=0"
"723","183.733873","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=1222 Ack=44107 Win=65536 Len=0"
"724","183.734002","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=100853 Win=65536 Len=0"
"725","183.738006","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=1222 Ack=47027 Win=65536 Len=0"
"726","183.738957","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=104434 Win=65536 Len=0"
"727","183.741387","192.168.1.66","172.217.1.35","TCP","55","[TCP Keep-Alive] 26707  >  443 [ACK] Seq=789 Ack=4559 Win=65536 Len=1"
"728","183.743750","192.168.1.66","54.192.89.15","TCP","54","26736  >  443 [ACK] Seq=1243 Ack=10999 Win=65536 Len=0"
"729","183.744420","192.168.1.66","54.192.89.15","TCP","54","26736  >  443 [ACK] Seq=1243 Ack=13919 Win=65536 Len=0"
"730","183.745970","192.168.1.66","54.192.89.15","TCP","54","26736  >  443 [ACK] Seq=1243 Ack=19759 Win=65536 Len=0"
"731","183.746135","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=1222 Ack=49301 Win=65536 Len=0"
"732","183.746235","192.168.1.66","52.85.236.243","TCP","54","26748  >  443 [ACK] Seq=1906 Ack=110478 Win=65536 Len=0"
"733","183.746923","192.168.1.66","172.217.0.74","TCP","54","26727  >  443 [ACK] Seq=1834 Ack=5809 Win=65792 Len=0"
"734","183.748556","192.168.1.66","172.217.0.74","TCP","54","26727  >  443 [ACK] Seq=1834 Ack=5895 Win=65536 Len=0"
"735","183.756472","192.168.1.66","172.217.0.74","QUIC","1392","Payload (Encrypted), PKN: 2, CID: 10277579457848340833"
"736","183.759322","192.168.1.66","172.217.0.74","TLSv1.2","100","Application Data"
"737","183.767076","192.168.1.66","54.192.89.15","TLSv1.2","480","Application Data"
"738","183.768966","192.168.1.66","54.192.89.15","TLSv1.2","480","Application Data"
"739","183.786877","192.168.1.66","52.85.236.243","TCP","1514","26748  >  443 [ACK] Seq=1906 Ack=110478 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"740","183.786879","192.168.1.66","52.85.236.243","TLSv1.2","354","Application Data"
"741","183.798293","192.168.1.66","54.192.89.15","TCP","54","26737  >  443 [ACK] Seq=779 Ack=7668 Win=65536 Len=0"
"742","183.798475","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=774 Ack=8221 Win=65536 Len=0"
"743","183.799823","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=774 Ack=11141 Win=65536 Len=0"
"744","183.800954","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=774 Ack=14061 Win=65536 Len=0"
"745","183.802837","192.168.1.66","54.192.89.15","TLSv1.2","480","Application Data"
"746","183.807944","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=774 Ack=18441 Win=65536 Len=0"
"747","183.808017","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=772 Ack=14470 Win=65536 Len=0"
"748","183.809442","192.168.1.66","52.85.236.243","TCP","1514","[TCP Retransmission] 26743  >  443 [PSH, ACK] Seq=497 Ack=5354 Win=65280 Len=1460"
"749","183.812931","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=774 Ack=19813 Win=64256 Len=0"
"750","183.813034","192.168.1.66","54.192.89.15","TCP","54","26736  >  443 [ACK] Seq=1669 Ack=23342 Win=65536 Len=0"
"751","183.813377","192.168.1.66","54.192.89.15","TCP","54","26736  >  443 [ACK] Seq=1669 Ack=27722 Win=65536 Len=0"
"752","183.814730","192.168.1.66","54.192.89.15","TCP","54","26736  >  443 [ACK] Seq=1669 Ack=28018 Win=65280 Len=0"
"753","183.818851","192.168.1.66","54.192.89.15","TLSv1.2","480","Application Data"
"754","183.820428","192.168.1.66","54.192.89.15","TLSv1.2","480","Application Data"
"755","183.822513","192.168.1.66","54.192.89.15","TLSv1.2","480","Application Data"
"756","183.824323","192.168.1.66","172.217.0.74","QUIC","81","Payload (Encrypted), PKN: 3, CID: 10277579457848340833"
"757","183.824739","192.168.1.66","172.217.0.74","QUIC","80","Payload (Encrypted), PKN: 4, CID: 10277579457848340833"
"758","183.838628","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=772 Ack=8221 Win=65536 Len=0"
"759","183.849496","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=772 Ack=12419 Win=65536 Len=0"
"760","183.854993","192.168.1.66","172.217.0.74","QUIC","77","Payload (Encrypted), PKN: 5, CID: 10277579457848340833"
"761","183.855224","192.168.1.66","54.192.89.15","TLSv1.2","482","Application Data"
